startStation;startDate;endStation;endDate;isMember
St-André / Ste-Catherine;2022-06-03 21:02:22;Bennett / Pierre-de-Coubertin;2022-06-03 21:26:31;1
Métro Radisson (Sherbrooke / des Groseilliers);2022-10-03 18:07:19;Collège de Rosemont (15e avenue / Beaubien);2022-10-03 18:27:56;0
Duvernay / Charlevoix;2022-07-12 20:59:32;Quesnel / Vinet;2022-07-12 21:03:35;1
7e avenue / St-Joseph Rosemont;2021-04-18 12:42:23;Fullum / Marie-Anne;2021-04-18 12:52:35;1
du Mont-Royal / Clark;2022-07-03 17:42:00;de Soissons / de Darlington;2022-07-03 17:59:42;0
Parc Père-Marquette (de Lanaudière / de Bellechasse);2021-10-13 19:40:38;Calixa-Lavallée / Sherbrooke;2021-10-13 19:51:43;1
Boyer / Jean-Talon;2022-06-22 16:46:27;Pontiac / Gilford;2022-06-22 17:04:15;1
Boucher / St-Denis;2021-10-28 22:35:17;Guizot / Clark;2021-10-28 22:50:29;1
St-Denis / René-Lévesque;2021-07-22 00:26:25;de la Salle / Hochelaga;2021-07-22 00:51:26;0
Mansfield / Ste-Catherine;2022-07-13 18:12:48;Beaudry / Ontario;2022-07-13 18:22:13;1
Boyer / Bélanger;2022-06-29 08:56:12;de Bellechasse / de St-Vallier;2022-06-29 09:02:14;1
Marquette / du Mont-Royal;2022-07-25 23:13:14;Gauthier / Parthenais;2022-07-25 23:21:54;1
Parc Jeanne Mance (monument sir George-Etienne Cartier);2022-07-03 17:53:59;Hutchison / des Pins;2022-07-03 17:59:58;1
Parc St-Paul (Le Caron / Marc-Sauvalle);2022-09-24 19:52:40;Marché Atwater;2022-09-24 20:02:20;0
Wolfe / René-Lévesque;2021-06-30 15:40:09;du Président-Kennedy / Jeanne-Mance;2021-06-30 15:51:53;0
Bloomfield / Bernard;2021-05-26 17:42:07;des Érables / Laurier;2021-05-26 17:55:15;1
Roy / St-Laurent;2022-07-21 17:19:27;St-Catherine / St-Laurent;2022-07-21 17:24:26;1
Messier / du Mont-Royal;2022-10-18 10:32:14;des Érables / Rachel;2022-10-18 10:34:38;0
Wolfe / de la Gauchetière;2022-08-17 11:25:29;Métro Peel (de Maisonneuve / Stanley);2022-08-17 11:39:41;1
Milton / Clark;2021-06-29 14:14:14;Stanley / Sherbrooke;2021-06-29 14:26:43;0
St-Dominique / St-Viateur;2022-09-16 17:32:10;Logan / d'Iberville;2022-09-16 17:53:14;0
Guilbault / Clark;2021-05-28 10:28:42;Léa-Roback / Sir-Georges-Etienne-Cartier;2021-05-28 10:52:08;1
de Bordeaux / Masson;2022-04-15 12:57:23;de Lanaudière / Laurier;2022-04-15 13:05:12;1
de l'Hôtel-de-Ville / Ontario;2022-09-08 15:41:50;St-André / Ste-Catherine;2022-09-08 15:46:42;0
Cartier / Masson;2021-07-29 08:55:21;Métro Laurier (Rivard / Laurier);2021-07-29 08:58:59;1
Bennett / Ste-Catherine;2021-05-07 08:33:13;Marché Maisonneuve;2021-05-07 08:36:09;1
Place Émilie-Gamelin (St-Hubert / de Maisonneuve);2021-10-01 15:51:33;Métro Atwater (Atwater / Ste-Catherine);2021-10-01 16:11:47;1
Argyle / Bannantyne;2022-11-12 13:19:16;Métro Jolicoeur (de Sève / Drake);2022-11-12 13:24:09;0
Fullum / Gilford;2022-06-18 09:25:39;Fullum / Holt;2022-06-18 09:31:14;0
de St-Vallier / St-Zotique;2022-06-11 16:07:02;Métro Parc  (Hutchison / Ogilvy);2022-06-11 16:15:59;1
de Bordeaux / Marie-Anne;2022-08-30 07:55:00;Gilford / St-Denis;2022-08-30 08:06:11;1
Ontario / Viau;2021-10-01 13:55:31;Ontario / Sicard;2021-10-01 13:57:25;1
26e avenue / Beaubien;2022-05-09 06:21:22;Omer-Lavallée / du Midway;2022-05-09 06:31:50;1
BAnQ (Berri / de Maisonneuve);2022-07-27 17:31:12;Notre-Dame / Gauvin;2022-07-27 17:43:38;0
Clark / St-Viateur;2022-05-12 09:12:34;Édouard-Montpetit / de Stirling;2022-05-12 09:24:04;1
Young / Wellington;2022-08-29 08:52:34;Square Victoria (Viger / du Square-Victoria);2022-08-29 09:04:20;1
Atwater / Sherbrooke;2021-10-05 08:03:39;de la Côte St-Antoine / Argyle;2021-10-05 08:07:14;1
de la Montagne / Sherbrooke;2022-10-25 14:10:58;de Maisonneuve / Mansfield (sud);2022-10-25 14:17:00;0
de Mentana / Gilford;2021-10-18 09:09:41;St-Denis / René-Lévesque;2021-10-18 09:25:58;1
5e avenue / Masson;2022-10-12 09:51:43;Roy / St-Denis;2022-10-12 10:10:54;0
Parc Baldwin (Fullum / Sherbrooke);2021-11-09 08:18:24;Métro Peel (de Maisonneuve / Stanley);2021-11-09 08:35:11;1
Marquette / du Mont-Royal;2022-05-16 16:40:42;Prince-Arthur / St-Urbain;2022-05-16 16:58:51;1
Marie-Anne / de la Roche;2021-08-20 12:10:33;Marquette / du Mont-Royal;2021-08-20 12:16:15;1
Berri / Rachel;2022-06-07 11:42:20;Boyer / Rosemont;2022-06-07 11:52:12;1
Boyer / Rosemont;2021-07-20 18:11:07;Clark / Prince-Arthur;2021-07-20 18:31:11;0
Parc du Pélican (2e avenue / St-Joseph);2021-08-16 17:47:50;Chabot / du Mont-Royal;2021-08-16 17:58:25;1
Alexandra / Jean-Talon;2021-09-24 13:01:55;de Maisonneuve / Berri;2021-09-24 13:30:51;1
Marquette / du Mont-Royal;2022-04-15 11:34:02;de l'Hôtel-de-Ville / Roy;2022-04-15 11:43:37;1
Bernard / St-Urbain;2021-07-31 03:04:40;de Normanville / Villeray;2021-07-31 03:18:39;0
de Monkland / Girouard;2022-10-23 13:42:44;Harvard / de Monkland;2022-10-23 13:44:21;0
Parc St-Paul (Le Caron / Marc-Sauvalle);2022-07-04 15:50:22;Wellington / Gordon;2022-07-04 15:56:16;1
Aylmer / Prince-Arthur;2022-06-07 00:24:53;du President-Kennedy / Union;2022-06-07 00:29:38;1
Hutchison / Prince-Arthur;2021-06-02 21:57:15;de l'Esplanade / Fairmount;2021-06-02 22:17:30;1
Marquette / du Mont-Royal;2021-10-04 19:19:40;Hutchison / Sherbrooke;2021-10-04 19:34:13;1
Lionel-Groulx / George-Vanier;2022-07-18 09:00:17;Marché Atwater;2022-07-18 09:33:33;1
Boyer / Bélanger;2021-09-23 16:32:39;Fullum / de Rouen;2021-09-23 16:52:36;1
Drummond / de Maisonneuve;2022-09-30 18:55:15;St-André / Robin;2022-09-30 19:06:14;0
Parc de la Confédération (Fielding / West Hill);2021-11-10 16:13:43;Lusignan / St-Jacques;2021-11-10 16:54:50;1
Métro Mont-Royal (Rivard / du Mont-Royal);2022-07-02 19:30:47;de l'Esplanade / du Mont-Royal;2022-07-02 19:43:58;0
2e avenue / Wellington;2022-10-13 16:06:30;Beatty / de Verdun;2022-10-13 16:12:29;0
St-Nicolas / Place d'Youville;2022-06-04 00:40:16;Dorion / Ontario;2022-06-04 01:02:59;0
Métro Atwater (Atwater / Ste-Catherine);2022-09-12 17:05:54;de Monkland / Girouard;2022-09-12 17:24:28;0
Dézéry / Ontario;2022-08-31 17:35:37;Marché Maisonneuve;2022-08-31 17:45:36;1
Parthenais / du Mont-Royal;2022-06-22 21:37:37;Laurier / de Bordeaux;2022-06-22 21:56:49;1
Villeneuve / du Parc;2022-05-25 16:49:58;Laval / Rachel;2022-05-25 17:02:47;1
Henri-Julien / Duluth;2022-08-17 02:00:30;Bloomfield / Van Horne;2022-08-17 02:19:23;1
Bloomfield / Bernard;2022-06-19 16:56:19;Bernard / St-Urbain;2022-06-19 17:00:25;1
Métro Champ-de-Mars (Viger / Sanguinet);2022-08-26 18:08:56;Boyer / St-Zotique;2022-08-26 18:33:20;1
Wolfe / Robin;2022-07-13 16:53:20;BAnQ (Berri / de Maisonneuve);2022-07-13 16:57:38;1
des Érables / Dandurand;2021-06-24 03:53:01;Gauthier / de Lorimier;2021-06-24 03:59:41;1
St-Antoine / de la Montagne;2022-10-05 18:27:35;Shearer / Centre;2022-10-05 18:35:24;0
du Mont-Royal / Clark;2022-10-04 09:31:21;Villeneuve / St-Laurent;2022-10-04 09:32:52;0
Hélène-Baillargeon / St-Denis;2022-11-04 13:11:57;Marché Jean-Talon (Casgrain / Shamrock);2022-11-04 13:21:49;0
Notre-Dame / Murray;2021-10-28 17:34:44;du Champ-de-Mars / Gosford;2021-10-28 17:43:11;1
Drolet / Laurier;2022-10-25 20:27:27;Bordeaux / Mont-Royal;2022-10-25 20:34:36;0
Hélène-Baillargeon / St-Denis;2022-06-14 17:22:32;du Mont-Royal / Clark;2022-06-14 17:30:19;1
Boyer / St-Zotique;2022-09-07 17:39:17;Marquette / Gilford;2022-09-07 17:52:40;0
de l'Esplanade / Fairmount;2022-10-24 10:18:42;Drolet / Laurier;2022-10-24 10:25:09;0
Aylwin / Ontario;2022-05-21 14:38:29;Jeanne-d'Arc / Ontario;2022-05-21 14:43:08;1
Duke / Brennan;2022-06-07 08:45:27;de la Commune / Place Jacques-Cartier;2022-06-07 08:49:56;1
Parc de Dieppe;2022-07-02 16:20:42;Place du Canada (Peel / de la Gauchetière);2022-07-02 16:46:32;1
Marquette / Laurier;2022-08-18 08:40:50;St-Hubert / Laurier;2022-08-18 08:46:49;0
Drummond / Ste-Catherine;2021-07-02 10:26:13;Métro Peel (de Maisonneuve / Stanley);2021-07-02 11:03:10;1
Bercy / Rachel;2022-07-29 07:44:22;de Bordeaux / Marie-Anne;2022-07-29 07:50:36;1
Jeanne-Mance / St-Viateur;2022-07-26 13:38:37;St-Jacques / St-Pierre;2022-07-26 13:55:30;1
Parc Ludger-Duvernay (St-André / St-Hubert);2021-09-29 15:28:25;Boyer / Bélanger;2021-09-29 15:37:20;1
Drummond / Sherbrooke;2022-07-19 00:38:22;Gare d'autocars de Montréal (Berri / Ontario);2022-07-19 01:02:39;1
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin);2022-09-15 08:23:47;de l'Esplanade / du Mont-Royal;2022-09-15 08:35:24;0
Vallières / St-Laurent;2021-07-29 20:34:33;Parc Jeanne-Mance (du Mont-Royal / du Parc);2021-07-29 21:00:17;1
du Mont-Royal / Clark;2022-08-20 11:35:43;Atwater / Greene;2022-08-20 12:04:48;0
d'Outremont / Ogilvy;2022-08-09 08:09:00;Métro Parc  (Hutchison / Ogilvy);2022-08-09 08:11:00;1
du Havre / de Rouen;2022-10-09 20:30:57;Fullum / Terrasse Mercure;2022-10-09 20:36:35;0
Viger / Chenneville;2022-06-08 19:10:10;de Bullion / du Mont-Royal;2022-06-08 19:28:34;0
St-Alexandre / Ste-Catherine;2021-05-25 17:33:45;Clark / Ontario;2021-05-25 17:37:07;1
Louis-Hébert / de Bellechasse;2021-06-16 18:18:29;d'Orléans / Masson;2021-06-16 18:30:52;1
Notre-Dame / Jean-d'Estrées;2021-07-22 17:10:55;Notre-Dame / Jean-d'Estrées;2021-07-22 17:37:47;1
Calixa-Lavallée / Rachel;2022-06-08 16:59:25;Chambord/ Beaubien;2022-06-08 17:14:14;1
St-Mathieu / Ste-Catherine;2021-07-13 17:46:30;Boyer / du Mont-Royal;2021-07-13 18:07:25;1
Guilbault / Clark;2021-09-03 10:32:22;University / Milton;2021-09-03 10:36:28;0
Boyer / du Mont-Royal;2022-05-27 02:14:47;Pontiac / Gilford;2022-05-27 02:18:16;1
de la Commune / St-Sulpice;2021-05-29 11:37:47;des Bassins / du Séminaire;2021-05-29 15:27:49;0
Villeneuve / du Parc;2022-06-30 08:17:58;de l'Hôtel-de-Ville / Ontario;2022-06-30 08:27:16;1
de Gaspé / St-Viateur;2022-10-27 11:51:55;Jeanne-Mance / St-Viateur;2022-10-27 11:54:51;0
St-Urbain / René-Lévesque;2022-05-20 23:40:36;Laval / Duluth;2022-05-20 23:50:07;1
Métro Angrignon (Lamont /  des Trinitaires);2022-08-03 14:24:55;St-Hubert /de Maisonneuve;2022-08-03 14:58:44;1
Marquette / du Mont-Royal;2022-09-03 01:41:03;Molson / Beaubien;2022-09-03 02:07:42;0
Berri / Cherrier;2022-06-25 13:44:28;de la Commune / St-Sulpice;2022-06-25 14:07:51;1
Roy / St-Denis;2022-05-25 14:18:32;Métro Sherbrooke (de Rigaud / St-Denis);2022-05-25 14:20:18;1
St-André / Ontario;2022-09-08 18:09:35;St-Urbain / René-Lévesque;2022-09-08 18:15:26;0
Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal);2022-05-14 17:48:00;Parc Maisonneuve (Viau / Sherbrooke);2022-05-14 18:15:51;1
Métro Jarry (Lajeunesse / Jarry);2022-07-17 13:50:09;Métro Laurier (Rivard / Laurier);2022-07-17 14:12:34;1
St-Catherine / St-Laurent;2021-09-04 20:48:23;de Gaspé / de Liège;2021-09-04 21:19:08;1
Roy / St-André;2022-09-23 12:04:45;Beaudry / Ontario;2022-09-23 12:09:48;0
Duluth / de l'Esplanade;2022-06-15 16:40:41;Roy / St-Laurent;2022-06-15 16:45:25;1
William / Robert-Bourassa;2021-11-09 19:57:36;2e avenue / Wellington;2021-11-09 20:34:21;1
10e avenue / Masson;2022-11-11 12:02:07;Parc du Pélican (2e avenue / St-Joseph);2022-11-11 12:06:19;0
de Gaspé / Jarry;2021-06-28 19:43:35;St-Dominique / St-Zotique;2021-06-28 19:51:31;1
BAnQ (Berri / de Maisonneuve);2021-07-06 11:42:03;Métro Peel (de Maisonneuve / Stanley);2021-07-06 11:49:03;1
Prince-Arthur / du Parc;2021-06-11 07:01:48;St-Urbain / René-Lévesque;2021-06-11 07:07:09;1
Parc Van Horne (de la Peltrie / de Westbury);2022-06-27 17:43:33;Grey / Sherbrooke;2022-06-27 18:03:59;1
des Bassins / du Séminaire;2022-09-05 18:41:24;Ottawa / William;2022-09-05 18:44:22;0
Swail / Decelles;2021-08-05 11:34:03;Paré / Mountain Sights;2021-08-05 11:47:28;1
du Mont-Royal / Clark;2022-10-01 11:52:15;Bennett / Adam;2022-10-01 12:22:18;0
Berri / Cherrier;2022-09-23 19:02:29;Marquette / du Mont-Royal;2022-09-23 19:09:46;0
Chambord/ Beaubien;2022-09-13 11:24:27;Laurier / de Bordeaux;2022-09-13 11:31:57;0
Boyer / Beaubien;2021-05-12 17:12:16;Wurtele / de Rouen;2021-05-12 17:46:10;1
St-Patrick / Briand;2022-05-23 20:39:52;Métro Guy-Concordia (Guy / St-Catherine);2022-05-23 20:55:57;0
Argyle / Bannantyne;2022-08-02 17:44:06;Wellington / 2e avenue;2022-08-02 17:49:12;1
University / Prince-Arthur;2022-09-01 13:04:28;Prince-Arthur / du Parc;2022-09-01 13:06:17;0
St-Dominique / Jean-Talon;2022-11-15 14:01:51;Bloomfield / Bernard;2022-11-15 14:13:35;0
Drolet / Marie-Anne;2021-08-17 16:40:25;Clark / Rachel;2021-08-17 16:45:18;1
Rivard / Rachel;2022-07-01 23:02:26;Alexandra / Jean-Talon;2022-07-01 23:21:45;1
St-Jacques / des Seigneurs;2021-04-17 15:06:02;St-Antoine / St-François-Xavier;2021-04-17 15:17:55;1
Métro Mont-Royal (Rivard / du Mont-Royal);2021-07-11 21:31:30;Fullum / Gilford;2021-07-11 21:43:02;1
du Champ-de-Mars / Gosford;2021-09-23 23:15:53;St-André / Ste-Catherine;2021-09-23 23:29:57;0
Dorion / Ontario;2022-11-05 11:31:39;Panet / Ste-Catherine;2022-11-05 11:39:06;0
de St-Vallier / St-Zotique;2021-09-24 22:44:26;Métro Rosemont (de St-Vallier / Rosemont);2021-09-24 22:50:27;1
Montcalm / Ontario;2021-07-21 19:08:01;Montcalm / de Maisonneuve;2021-07-21 19:10:13;1
Jeanne-Mance / St-Viateur;2022-09-02 19:48:01;St-Dominique / St-Zotique;2022-09-02 19:55:57;0
Campus MIL (Outremont / Thérèse-Lavoie Roux);2022-07-27 18:38:59;Chapleau / du Mont-Royal;2022-07-27 18:55:08;1
Molson / William-Tremblay;2022-11-03 07:49:55;Hutchison / Beaubien;2022-11-03 08:02:40;0
du Mont-Royal / Clark;2022-08-28 15:31:56;Wolfe / Robin;2022-08-28 15:49:50;1
Jean-Brillant / de la Côte-des-Neiges;2021-05-09 14:13:22;Jean-Brillant / de la Côte-des-Neiges;2021-05-09 14:33:47;1
de la Commune / Berri;2022-10-23 16:03:32;Parc de Bullion (de Bullion / Prince-Arthur);2022-10-23 16:16:28;0
St-Dominique / Laurier;2022-08-23 14:12:52;Gilford / de Brébeuf;2022-08-23 14:21:16;1
Bélanger / St-Denis;2022-10-05 08:50:23;du Mont-Royal / Clark;2022-10-05 09:02:17;0
Villeneuve / St-Laurent;2022-05-13 19:18:50;Villeneuve / St-Laurent;2022-05-13 19:19:46;1
Léa-Roback / Sir-Georges-Etienne-Cartier;2021-06-04 18:48:33;de la Commune / Berri;2021-06-04 19:06:19;1
Bassin olympique (Chemin du Chenal le Moyne);2022-10-21 16:42:43;Place du Commerce;2022-10-21 17:16:41;0
de Bleury / de Maisonneuve;2021-09-16 19:11:43;de Chateaubriand / Jarry;2021-09-16 19:37:37;1
de Mentana / St-Joseph;2022-08-15 13:09:22;de l'Hôtel-de-Ville / Roy;2022-08-15 13:21:15;1
St-Dominique / Laurier;2022-08-31 17:44:31;Milton / Clark;2022-08-31 17:57:56;0
Tupper / du Fort;2022-07-27 06:46:58;St-Antoine / de la Montagne;2022-07-27 06:51:02;1
10e avenue / Masson;2022-08-26 21:40:49;Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal);2022-08-26 21:47:48;0
de la Roche / Bélanger;2022-07-17 16:41:03;de l'Esplanade / Fairmount;2022-07-17 16:56:35;1
Resther / du Mont-Royal;2022-08-13 19:26:04;Drolet / Laurier;2022-08-13 19:32:08;0
la Fontaine / Alexandre-de-Sève;2021-05-13 09:07:45;Clark / Ontario;2021-05-13 09:15:10;1
Drolet / Marie-Anne;2022-09-04 03:16:29;Logan / de Champlain;2022-09-04 03:35:42;0
Métro Guy-Concordia (Guy / St-Catherine);2022-07-07 12:31:58;Hillside / Ste-Catherine;2022-07-07 12:43:46;1
U. Concordia - Campus Loyola (Sherbrooke / West Broadway);2022-09-01 11:00:19;de la Côte St-Antoine / Royal;2022-09-01 11:14:42;0
Vallières / St-Laurent;2022-10-19 17:23:10;Émile-Duployé / Sherbrooke;2022-10-19 17:32:27;0
10e avenue / Masson;2022-07-17 01:51:52;3e avenue / Holt;2022-07-17 01:56:05;1
Atateken / du Square Amherst;2021-08-03 01:03:24;Montcalm / Ontario;2021-08-03 01:34:08;1
5e avenue / Bannantyne;2022-09-24 08:28:10;Montmorency / Richardson;2022-09-24 08:43:37;0
Métro Champ-de-Mars (Viger / Sanguinet);2021-06-10 17:35:27;Queen / Wellington;2021-06-10 17:45:18;1
Parc Olympique (Pie-IX / Sherbrooke);2022-10-04 21:33:27;26e avenue / Beaubien;2022-10-04 21:44:18;0
de Kent / de la Côte-des-Neiges;2021-08-29 01:51:24;Hôpital général juif (de la Côte Ste-Catherine / Légaré);2021-08-29 01:54:23;1
de Kent / de la Côte-des-Neiges;2021-05-22 18:34:59;de Kent / de la Côte-des-Neiges;2021-05-22 19:27:53;0
5e avenue / Bannantyne;2022-10-23 11:01:18;Gagne / LaSalle;2022-10-23 11:46:12;0
Guilbault / Clark;2022-09-05 22:29:15;University / Milton;2022-09-05 22:36:40;0
Métro Jarry (Lajeunesse / Jarry);2021-09-16 17:36:42;Boucher / St-Denis;2021-09-16 17:53:57;1
Tolhurst / Fleury;2021-08-27 12:26:59;Boyer / du Mont-Royal;2021-08-27 13:04:17;1
Drummond / de Maisonneuve;2022-07-19 16:41:52;Union / Ste-Catherine;2022-07-19 16:45:19;1
15e avenue / Masson;2021-06-04 18:05:14;de Laprairie / Centre;2021-06-04 19:32:20;0
Chomedey / de Maisonneuve;2021-06-25 13:36:20;Métro Peel (de Maisonneuve / Stanley);2021-06-25 13:50:29;0
Rachel / de Brébeuf;2021-06-09 01:37:59;Laurier / de Brébeuf;2021-06-09 01:42:45;1
St-André / Cherrier;2021-11-11 17:10:15;Dorion / Gauthier;2021-11-11 17:15:56;0
Villeneuve / St-Laurent;2021-09-03 17:21:24;CHU Sainte-Justine (de la Côte Sainte-Catherine / Hudson);2021-09-03 17:47:27;1
Hutchison / Van Horne;2021-08-13 09:06:44;Labadie / du Parc;2021-08-13 09:11:55;1
St-Antoine / de la Montagne;2021-09-08 23:42:05;Young / Wellington;2021-09-09 00:10:24;0
Émile-Duployé / Sherbrooke;2021-09-12 22:01:07;Chabot / Laurier;2021-09-12 22:07:06;1
de Castelnau / Lajeunesse;2022-05-26 05:43:33;Louis-Hébert / Bélanger;2022-05-26 05:49:26;1
Berri / Rachel;2022-07-28 00:03:35;St-Dominique / Laurier;2022-07-28 00:13:36;0
Chomedey / de Maisonneuve;2022-05-30 09:42:17;Melville / de Maisonneuve;2022-05-30 09:50:42;1
Métro Charlevoix (Centre / Charlevoix);2022-08-09 12:27:23;Métro Lionel-Groulx (St-Jacques / Atwater);2022-08-09 12:33:04;1
Métro Crémazie (Crémazie / Lajeunesse);2022-08-21 16:38:45;Métro Crémazie (Crémazie / Lajeunesse);2022-08-21 16:42:22;1
St-André / Ste-Catherine;2021-08-09 11:25:55;Métro Place-d'Armes (Viger / St-Urbain);2021-08-09 11:33:29;1
Beaubien / 8e avenue;2022-05-29 19:57:52;19e avenue / St-Zotique;2022-05-29 20:05:53;1
Métro Jolicoeur (de Sève / Drake);2022-09-02 20:33:48;de l'Église / Bannantyne;2022-09-02 20:41:21;0
Métro Atwater (Atwater / Ste-Catherine);2022-08-13 19:21:24;de la Commune / Place Jacques-Cartier;2022-08-13 19:42:31;1
Métro Atwater (Atwater / Ste-Catherine);2021-06-15 10:56:33;de Maisonneuve / Greene;2021-06-15 11:00:03;1
10e avenue / Masson;2021-09-12 18:20:31;Métro Laurier (Berri / St-Joseph);2021-09-12 18:32:34;0
du Champ-de-Mars / Gosford;2021-05-31 14:20:48;de Mentana / Marie-Anne;2021-05-31 14:31:37;1
Milton / Durocher;2021-10-08 07:47:34;Métro Atwater (Atwater / Ste-Catherine);2021-10-08 08:02:12;0
de l'Esplanade / Fairmount;2021-06-11 19:09:18;de Bellechasse / de St-Vallier;2021-06-11 19:21:27;1
Argyle / de Verdun;2022-05-05 17:43:25;de la Commune / St-Sulpice;2022-05-05 18:12:43;1
Milton / Clark;2022-08-10 17:11:09;Jeanne-d'Arc / Ontario;2022-08-10 17:41:03;1
27e avenue / Rosemont;2022-10-05 15:16:35;La Tour de Montréal (Pierre-de-Coubertin / Bennett);2022-10-05 15:36:03;0
Hutchison/ Van Horne;2022-04-28 17:28:53;Notre-Dame / Jean-d'Estrées;2022-04-28 17:56:47;1
de Brébeuf / du Mont-Royal;2021-08-29 18:44:29;Gare d'autocars de Montréal (Berri / Ontario);2021-08-29 18:56:35;1
Chabot / du Mont-Royal;2021-08-13 15:30:44;Fullum / de Rouen;2021-08-13 15:36:58;1
Mackay / de Maisonneuve;2021-09-23 19:04:57;Tupper / du Fort;2021-09-23 19:08:52;1
de la Commune / Place Jacques-Cartier;2022-09-12 20:22:53;de la Commune / Berri;2022-09-12 20:24:39;0
Laval / Rachel;2021-07-26 13:01:07;Benny / Sherbrooke;2021-07-26 13:24:59;1
Parc Père-Marquette (Chambord / Rosemont);2022-05-10 17:23:36;St-Dominique / de Bellechasse;2022-05-10 17:32:08;1
Logan / d'Iberville;2022-08-07 03:36:50;Atateken / du Square Amherst;2022-08-07 03:47:40;1
Campus MIL (Outremont / Thérèse-Lavoie Roux);2021-09-02 08:06:56;Durocher / Beaumont;2021-09-02 08:12:24;1
Ann / Wellington;2022-08-31 17:57:30;Ann / Wellington;2022-08-31 17:57:53;1
de Maisonneuve / Mansfield (nord);2022-08-31 16:18:22;Villeneuve / de l'Hôtel-de-Ville;2022-08-31 16:35:57;0
Lajeunesse / de Liège;2021-05-21 08:43:00;de Lisieux / Jean-Talon;2021-05-21 09:14:50;1
Boyer / St-Zotique;2021-08-23 18:11:08;12e avenue / St-Zotique;2021-08-23 18:21:43;1
Waverly / St-Viateur;2022-08-02 19:24:50;Rachel / du Parc-Lafontaine;2022-08-02 19:43:39;1
Mackay / de Maisonneuve;2021-09-21 19:53:46;St-Catherine / St-Laurent;2021-09-21 20:10:04;1
Messier / St-Joseph;2022-09-15 12:37:31;Messier / St-Joseph;2022-09-15 12:45:50;0
Louis-Hébert / St-Zotique;2022-10-02 23:13:36;Papineau / Émile-Journault;2022-10-02 23:29:31;0
de l'Hôtel-de-Ville / Roy;2022-05-25 15:57:50;Marquette / Gilford;2022-05-25 16:10:50;1
Grand Boulevard / Sherbrooke;2021-06-15 09:50:19;Crescent / de Maisonneuve;2021-06-15 10:10:17;1
Boyer / du Mont-Royal;2021-06-10 20:49:11;Hochelaga / Chapleau;2021-06-10 21:14:18;1
Parc Jean-Drapeau (Chemin Macdonald);2022-05-08 15:39:27;Duke / Brennan;2022-05-08 15:58:58;0
Mansfield / Ste-Catherine;2021-06-15 17:01:37;Métro Georges-Vanier (St-Antoine / Canning);2021-06-15 17:10:45;1
Aylmer / Prince-Arthur;2022-09-02 21:11:58;Ste-Catherine / Union;2022-09-02 21:15:41;0
Jeanne-d'Arc / Ontario;2022-06-28 19:00:49;du Havre / de Rouen;2022-06-28 19:08:49;1
Parc du Pélican (1ère avenue / Masson);2022-07-07 00:25:58;Hochelaga / Chapleau;2022-07-07 00:47:08;1
McTavish / Sherbrooke;2022-10-26 13:49:45;de Maisonneuve / Greene;2022-10-26 13:59:41;0
de l'Hôtel-de-Ville / Roy;2021-04-09 17:17:45;Henri-Julien / de Bellechasse;2021-04-09 17:30:20;1
St-Dominique / Napoléon;2022-06-22 12:22:37;Henri-Julien / Duluth;2022-06-22 12:25:23;1
Lucien L'Allier / St-Jacques;2022-09-29 09:04:07;Métro Lucien-L'Allier  (Lucien l'Allier / Argyle);2022-09-29 09:07:04;0
Drolet / Gounod;2022-04-14 15:45:13;Boyer / St-Zotique;2022-04-14 15:57:21;1
Métro Papineau (Cartier / Ste-Catherine);2021-08-03 17:25:07;Place Émilie-Gamelin (St-Hubert / de Maisonneuve);2021-08-03 17:29:41;1
Parc riverain de Lachine (des Iroquois);2022-04-15 16:28:57;St-Charles / Thomas-Keefer;2022-04-15 17:05:06;1
de l'Hôtel-de-Ville / Roy;2022-08-02 14:06:00;Boyer / St-Zotique;2022-08-02 14:21:44;1
Wellington / 2e avenue;2021-08-30 15:12:19;Gordon / Wellington;2021-08-30 15:54:58;1
Hutchison / Beaubien;2022-07-08 17:29:16;St-Dominique / Laurier;2022-07-08 17:45:21;1
Logan / de Champlain;2022-05-26 18:17:48;Boyer / Beaubien;2022-05-26 18:35:00;1
Molson / William-Tremblay;2022-05-25 14:53:38;6e avenue / Bélanger;2022-05-25 15:04:05;1
Crescent / de Maisonneuve;2021-09-15 14:53:31;Crescent / de Maisonneuve;2021-09-15 15:20:34;1
Terminus Newman (Airlie / Lafleur);2022-08-12 14:20:15;Park Row O / Sherbrooke;2022-08-12 14:36:36;0
Parc Lalancette (de Rouen / Valois);2022-09-25 18:22:45;Ste-Catherine / Sanguinet;2022-09-25 18:42:26;0
Alexandre-DeSève / Ste-Catherine;2022-07-25 22:40:28;Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance);2022-07-25 22:52:36;1
Georges-Vanier / Notre-Dame;2022-08-15 08:20:26;Ste-Émilie / Sir-Georges-Etienne-Cartier;2022-08-15 08:29:49;1
Métro Laurier (Berri / St-Joseph);2021-08-24 13:22:56;St-Dominique / Laurier;2021-08-24 13:27:11;0
Duluth / St-Laurent;2021-09-14 18:10:44;Clark / St-Viateur;2021-09-14 18:18:32;1
Gagne / LaSalle;2021-08-06 09:18:50;St-Joseph / 34e avenue Lachine;2021-08-06 09:52:25;1
